Name,Address,RATING,CURRENT,RISK
Papa John's Pizza,4610 S 50th,STANDARD,02/12/18,MEDIUM
Puff N Stuff,3507 N 30th St,STANDARD,10/02/17,LOW
R Z Poop Deck,6006 GROVER ST,EXCELLENT,12/27/17,LOW
REVERB LOUNGE,6121 MILITARY AVE,EXCELLENT,09/19/17,LOW
Red Lion Lounge,3802 Farnam St,STANDARD,02/08/18,MEDIUM
Residence Inn by Marriott,106 S 15th ST,EXCELLENT,01/29/18,MEDIUM
SCRIPTOWN BREWERY,3922 FARNAM ST,EXCELLENT,01/05/18,MEDIUM
SHELLY'S DIPPIN DOTS,10000 CALIFORNIA ST,STANDARD,01/09/18,LOW
SHELTERBELT THEATRE,3225 CALIFORNIA ST,EXCELLENT,10/30/17,LOW
SHOPKO STORES #156,14445 W CENTER RD,EXCELLENT,01/23/18,LOW
SLEEPLESS FROM SEATTLE,1601 DODGE ST,EXCELLENT,02/08/18,MEDIUM
SNOSHACK OF OMAHA,1818 BINFIELD ST,EXCELLENT,08/18/17,MEDIUM
SONS OF ITALY,1238 S 10 ST,EXCELLENT,12/01/16,HIGH
SPRING INN BAR,2703 S 10 ST,EXCELLENT,01/03/18,LOW
ST BERNARD LOUNGE,14457 F ST,STANDARD,09/08/17,LOW
STOLIS LOUNGE,715 N 120 ST,EXCELLENT,02/07/18,LOW
SUBSOUTH INC,3414 S 144 ST,EXCELLENT,01/25/18,MEDIUM
SUMMIT (THE),1601 DODGE ST STE 100,EXCELLENT,02/01/18,MEDIUM
SWEET MAGNOLIA'S BAKE SHOP,813 N 40 ST,EXCELLENT,01/31/18,LOW
Scissors & Scotch, 2835 S 170th Plz  Ste 212 ,STANDARD,10/03/17,LOW
Scooter's Coffee,15655 Pacific ST,EXCELLENT,01/22/18,LOW
Scooter's Coffee House,10000 California ST,EXCELLENT,09/29/17,LOW
Scooter's Coffee House,2815 S 132nd ST,EXCELLENT,01/24/18,MEDIUM
Scooter's Coffee House,10196 Maple ST,EXCELLENT,02/05/18,MEDIUM
Scooter's Coffeehouse,7595 Pacific ST,EXCELLENT,02/07/18,LOW
Shake Life,1517 N 203rd St,EXCELLENT,11/29/17,LOW
Southern Glazers Wine and Spirts of Nebraska,4433 S 96TH ST,STANDARD,09/25/17,LOW
Speedee Mart #2725,13235 Grover ST,EXCELLENT,12/04/17,LOW
Speedee Mart #2745,2920 S 120th ST,EXCELLENT,01/22/18,LOW
Speedy Gas N Shop,5822 Maple St,STANDARD,01/04/18,LOW
Spring Lake Golf Snack Bar,4020 Hoctor BLVD,STANDARD,10/17/17,LOW
Spruce Street Tavern, 327 N Spruce ST  Valley ,STANDARD,08/28/17,LOW
Subway,3001 S 144th ST,EXCELLENT,01/24/18,MEDIUM
Subway,5018 Ames AVE,STANDARD,01/24/18,MEDIUM
Subway,210 S 16th St Ste 105F,EXCELLENT,02/07/18,MEDIUM
Suzan's LLC,8501 N 30th,EXCELLENT,11/20/17,MEDIUM
TOYS 'R' US,3435 OAKVIEW DR,EXCELLENT,10/31/17,LOW
TRAP ROOM (THE),733 N 14 ST,EXCELLENT,10/23/17,LOW
TRIO,1150 STERLING RIDGE DR,EXCELLENT,12/04/17,LOW
The Bull and the Bear,11341 Davenport St,STANDARD,08/29/17,LOW
Tipico Helado,4443 S 13th St,STANDARD,09/14/17,MEDIUM
Tobacco & Phones 4 Less,4429 California ST,STANDARD,10/06/17,LOW
Tobacco & Phones 4 Less,7204 Blondo ST,STANDARD,12/27/17,LOW
Tobacco & Phones 4 Less,6000 Grover ST,STANDARD,01/26/18,MEDIUM
Tobacco & Phones 4 Less,4420 S 24th ST,STANDARD,02/13/18,MEDIUM
Tobacco Hut #15,5434 N 103rd,STANDARD,10/02/17,LOW
Tobacco Hut #19,6206 AMES AVE,STANDARD,08/28/17,LOW
Tobacco Phones for Less,10780 Q ST,FAIR,10/17/17,LOW
UNDERWOOD BAR,4918 UNDERWOOD AVE,STANDARD,10/05/17,LOW
VILLAGE BAR - RALSTON,5700 S 77 ST,STANDARD,09/01/17,LOW
WAITING ROOM (THE),6212 MAPLE ST,EXCELLENT,09/19/17,LOW
WAOO DANCING CLUB,10730 PACIFIC ST,EXCELLENT,08/11/17,LOW
WEAVER LOUNGE,401 S 16 ST,EXCELLENT,11/27/17,LOW
WICKED RABBIT,1508 HARNEY ST,STANDARD,08/08/17,LOW
WINE 121,12100 W CENTER RD STE 905,STANDARD,11/07/17,LOW
Walgreens #04974,5038 Center,EXCELLENT,12/29/17,LOW
Walgreens #05059,10725 Fort ST,EXCELLENT,12/08/17,LOW
Walgreens #05966,2605 S 171st ST,EXCELLENT,12/29/17,LOW
Walgreens #06802,15525 Spaulding Plaza,EXCELLENT,09/15/17,LOW
Walgreens #07563,8989 W Dodge ST,EXCELLENT,10/11/17,LOW
Walgreens #15237,2929 N 60th ST,EXCELLENT,08/31/17,LOW
