Name,Address,RATING,CURRENT,RISK
Blue Nile Corner Store,2541 N 20 ST,EXCELLENT,11/15/18,LOW
BLUE SUSHI SAKE GRILL,14450 EAGLE RUN DR STE S210,EXCELLENT,9/20/18,HIGH
BLUMFIELD ELEMENTARY,10310 MOCKINGBIRD DR.,SUPERIOR,11/19/18,HIGH
BO BO CHINA,15414 WEIR ST,EXCELLENT,10/5/18,HIGH
BOBS GRILL & CAFÉ,317 S 17 ST,STANDARD,11/29/18,HIGH
Bogies Bar & Grill,14334 U ST,STANDARD,8/2/18,HIGH
Bogies Bar & Grill,3305 Old Maple RD,EXCELLENT,11/2/18,HIGH
BOILERROOM RESTAURANT (THE),1110 JONES ST,STANDARD,10/9/18,HIGH
BONEFISH GRILL,120 REGENCY PRKY STE 100,EXCELLENT,8/23/18,HIGH
BOONDOCKERS,5222 N 120 ST,FAIR,7/26/18,HIGH
Bosh Enterprises,15689 Spaulding St,STANDARD,,HIGH
BOULDER CREEK,14208 S ST,STANDARD,7/13/18,MEDIUM
BOURBON SALOON,311 S. 15th St 2nd floor,STANDARD,8/17/18,LOW
Boxicanyon Company,4712 S 82nd St (Ralston),EXCELLENT,5/31/18,MEDIUM
BOYD AND CHARLES BBQ,202 N MAIN ST,EXCELLENT,10/9/18,HIGH
Boyd and Charlies BBQ #2,1418 S 60th St,EXCELLENT,12/10/18,HIGH
Boyd Elemenatry,8314 BOYD ST,SUPERIOR,2/15/19,HIGH
BOYS & GIRLS CLUB OF OMAHA,2610 HAMILTON ST,EXCELLENT,10/4/18,HIGH
BOYS TOWN DINING HALL,13747 FLANAGAN BLVD,EXCELLENT,11/13/18,HIGH
BOYS TOWN VISITORS CTR CAFE,13628 FLANAGAN,EXCELLENT,11/13/18,HIGH
BOYS TOWN WEGNER SCHOOL,14124 NORTON DR,EXCELLENT,11/13/18,HIGH
BP PETROMART,5203 NW RADIAL HWY,EXCELLENT,3/2/18,LOW
Braai Time,12040 McDermot Plz,STANDARD,4/6/18,MEDIUM
BRANDEIS CAFETERIA,2400 CASS ST,EXCELLENT,8/21/18,HIGH
BRASS KNOCKER LOUNGE,3012 N 102 ST,FAIR,8/29/18,LOW
BRAVO CUCINA ITALIANA,17151 DAVENPORT ST,STANDARD,1/16/19,HIGH
BRAZEN HEAD IRISH PUB,319 N 78 ST,STANDARD,7/31/18,HIGH
Brew Coffee House & Tasting Room,318 N SPRUCE ST,EXCELLENT,2/12/18,MEDIUM
Brewsky's Food & Spirits,15350 WEIR ST,STANDARD,12/7/18,HIGH
BRICK OVEN PIZZERIA,3001 S 144 ST,STANDARD,1/18/19,MEDIUM
BRICK OVEN PIZZERIA,624 S 72 ST,EXCELLENT,10/15/18,HIGH
BRICK STREET TAVERN,4936 S 135 ST,EXCELLENT,12/3/18,HIGH
BRICKWAY BREWERY & DISTILLERY,1116 JACKSON ST,EXCELLENT,11/19/18,HIGH
Brokedown Palace (The),8805 Maple St,STANDARD,4/11/18,LOW
BRONCO'S DRIVE IN #0002,4540 LEAVENWORTH ST,EXCELLENT,9/26/18,HIGH
BRONCO'S DRIVE IN #0005,1123 S 120 ST,EXCELLENT,12/20/18,HIGH
BROOKHILL COUNTRY CLUB,1900 COLE CREEK,STANDARD,5/30/18,MEDIUM
BROOKSIDE CAFE,15668 W CENTER RD,STANDARD,11/14/18,HIGH
Brother Sebastian's,1350 S 119 ST,STANDARD,11/26/18,HIGH
Brothers Lounge 2002,3812 FARNAM ST,EXCELLENT,8/31/17,LOW
BROWNELL TALBOT SCHOOL,400 N HAPPY HOLLOW,EXCELLENT,9/5/18,HIGH
BRUEGGERS BAGEL BAKERY,12989 W CENTER RD,EXCELLENT,4/30/18,MEDIUM
BRUEGGER'S BAGEL BAKERY,4015 DODGE ST,EXCELLENT,8/13/18,HIGH
BRUEGGER'S BAGEL BAKERY,228 N 114 ST,STANDARD,8/24/18,HIGH
BRUSHI,721 N 132 ST,EXCELLENT,8/2/18,HIGH
BRYAN MIDDLE SCHOOL,8210 S 42 ST,SUPERIOR,10/31/18,HIGH
BRYAN SENIOR HIGH,4700 GILES RD,EXCELLENT,10/24/18,HIGH
B's Bones & Sauce,7515 Pacific St,EXCELLENT,7/31/18,MEDIUM
BUCHANAN'S W DODGE AMOCO,7911 W DODGE RD,EXCELLENT,12/5/17,LOW
BUCKS,4420 L ST,EXCELLENT,1/16/18,LOW
BUCKS BAR & GRILL,27849 W CENTER RD-WATERLOO,STANDARD,7/31/18,MEDIUM
