Name,Address,RATING,CURRENT,RISK
Moe & Curly's Pub,2946 N 108th ST,STANDARD,07/24/18,LOW
Molly's Pub,8525 Park Dr,STANDARD,07/26/18,LOW
Murphy Express #8811,4111 S 132nd St,STANDARD,10/04/17,LOW
NORTH SHORE TAVERN,10148 MAPLE ST,STANDARD,01/02/18,LOW
NORTHERN TOOL & EQUIPMENT,7202 PACIFIC ST,EXCELLENT,09/12/17,LOW
NP Mart,4229 N 60 ST,STANDARD,11/15/18,LOW
Namaste Foods LLC,617 N 114TH ST,STANDARD,09/05/18,LOW
Neighber's,4689 Leavenworth,STANDARD,02/23/18,LOW
Nest Lounge,2638 S 158th Plz,STANDARD,11/16/18,LOW
New Frontier,8516 N 30 ST,STANDARD,03/14/18,LOW
Noahs Event Center,17121 Marcy St,STANDARD,06/29/18,LOW
OUTPOST BAR,6301 S 36 ST,STANDARD,01/17/19,LOW
Obar,15660 W Center RD,STANDARD,11/14/18,LOW
Office West Lounge,1266 S 119th CT,EXCELLENT,08/29/17,LOW
Olson Tavern Inc,3207 Leavenworth,STANDARD,03/05/18,LOW
Omaha Community Playhouse,6915 Cass,EXCELLENT,09/27/17,LOW
Omaha Mining Company,1715 Leavenworth ST,STANDARD,10/18/18,LOW
Omaha Tropical Market,4113 S 84th St,STANDARD,11/17/17,LOW
Osteria Segreto,3910 Farnam St STE B,STANDARD,11/29/17,LOW
PAGETURNERS LOUNGE,5004 DODGE ST,EXCELLENT,11/14/17,LOW
PARKING LOT (THE),5820 S 99 ST,STANDARD,11/15/18,LOW
PARLIAMENT PUB,1212 HARNEY ST STE 2,STANDARD,11/29/17,LOW
PARLIAMENT PUB,16939 WRIGHT PLZ STE 153,STANDARD,05/11/18,LOW
PIC'S SIX,13328 MILLARD AVE,STANDARD,08/06/18,LOW
PROFILE BY SANFORD,1303 S 72 ST STE 106,EXCELLENT,11/02/17,LOW
PROFILE BY SANFORD,14848 Evans Plz,STANDARD,12/31/18,LOW
Puff N Stuff,3507 N 30th St,STANDARD,10/02/17,LOW
Quik Pik,5421 S 96th ST,STANDARD,12/13/18,LOW
Quik-Pik,230 E HWY 275,STANDARD,05/03/18,LOW
REDNECKS,3421 S 84 ST,STANDARD,04/10/18,LOW
REGIS FOOD MART,6828 S 143 PLZ,FAIR,01/03/19,LOW
REVERB LOUNGE,6121 MILITARY AVE,EXCELLENT,09/19/17,LOW
ROSE & CROWN PUB,515 S 20 ST,STANDARD,06/14/18,LOW
River City Saloon,1802 VINTON ST,STANDARD,04/09/18,LOW
SALAAM NAMASTE,13826 P ST,STANDARD,06/04/18,LOW
SALWEEN THAI GROCERY,1106 NW RADIAL HWY,STANDARD,05/15/18,LOW
SELECT MART,2401 LEAVENWORTH,STANDARD,08/24/18,LOW
SHELLY'S DIPPIN DOTS,10000 CALIFORNIA ST,STANDARD,01/09/18,LOW
SHELTERBELT THEATRE,3225 CALIFORNIA ST,EXCELLENT,10/30/17,LOW
SINCLAIR,5215 N 16 ST,STANDARD,07/10/18,LOW
ST BERNARD LOUNGE,14457 F ST,STANDARD,09/08/17,LOW
STU'S PLACE,9101 BEDFORD AVE,STANDARD,04/02/18,LOW
SUPER T'S,3805 LAKE ST,STANDARD,09/20/18,LOW
Schmidley's Golf Range,4700 N 120th ST,STANDARD,04/19/18,LOW
Scissors & Scotch, 2835 S 170th Plz  Ste 212 ,STANDARD,10/03/17,LOW
